[2020-01-13T07:57:40] T = 1200000 / 50000000 | Avg. reward: -198.8985969932936 | Avg. Q: -9.82048225402832
[2020-01-13T08:16:34] T = 1210000 / 50000000 | Avg. reward: -198.89917264610528 | Avg. Q: -9.80615520477295
[2020-01-13T08:35:29] T = 1220000 / 50000000 | Avg. reward: -198.84288825932424 | Avg. Q: -9.832047462463379
[2020-01-13T08:54:23] T = 1230000 / 50000000 | Avg. reward: -197.75008815619162 | Avg. Q: -9.82742691040039
[2020-01-13T09:13:19] T = 1240000 / 50000000 | Avg. reward: -198.88650379341095 | Avg. Q: -9.826308250427246
[2020-01-13T09:32:17] T = 1250000 / 50000000 | Avg. reward: -198.8818506385386 | Avg. Q: -9.816533088684082
[2020-01-13T09:51:11] T = 1260000 / 50000000 | Avg. reward: -198.89779189473018 | Avg. Q: -9.828031539916992
[2020-01-13T10:10:06] T = 1270000 / 50000000 | Avg. reward: -197.75686885951086 | Avg. Q: -9.811055183410645
[2020-01-13T10:29:02] T = 1280000 / 50000000 | Avg. reward: -198.89774974865838 | Avg. Q: -9.81282901763916
[2020-01-13T10:47:58] T = 1290000 / 50000000 | Avg. reward: -198.86004897264763 | Avg. Q: -9.841839790344238
[2020-01-13T11:06:56] T = 1300000 / 50000000 | Avg. reward: -197.79194518852978 | Avg. Q: -9.835921287536621
[2020-01-13T11:25:52] T = 1310000 / 50000000 | Avg. reward: -197.74899667267687 | Avg. Q: -9.816752433776855
[2020-01-13T11:44:49] T = 1320000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.823885917663574
[2020-01-13T12:03:44] T = 1330000 / 50000000 | Avg. reward: -198.89451876433566 | Avg. Q: -9.821845054626465
[2020-01-13T12:22:39] T = 1340000 / 50000000 | Avg. reward: -197.70162513397167 | Avg. Q: -9.830034255981445
[2020-01-13T12:41:36] T = 1350000 / 50000000 | Avg. reward: -197.74462416953406 | Avg. Q: -9.850235939025879
[2020-01-13T13:00:32] T = 1360000 / 50000000 | Avg. reward: -198.87679493159055 | Avg. Q: -9.825610160827637
[2020-01-13T13:19:31] T = 1370000 / 50000000 | Avg. reward: -197.72040424134116 | Avg. Q: -9.824165344238281
[2020-01-13T13:38:27] T = 1380000 / 50000000 | Avg. reward: -198.84490476978942 | Avg. Q: -9.823410034179688
[2020-01-13T13:57:25] T = 1390000 / 50000000 | Avg. reward: -198.84704474836587 | Avg. Q: -9.835057258605957
[2020-01-13T14:16:22] T = 1400000 / 50000000 | Avg. reward: -197.71486172346863 | Avg. Q: -9.832113265991211
[2020-01-13T14:35:18] T = 1410000 / 50000000 | Avg. reward: -197.79384812548756 | Avg. Q: -9.821467399597168
[2020-01-13T14:54:15] T = 1420000 / 50000000 | Avg. reward: -196.62212349705862 | Avg. Q: -9.825715065002441
[2020-01-13T15:13:10] T = 1430000 / 50000000 | Avg. reward: -198.89824773708358 | Avg. Q: -9.828620910644531
